id,sender,subject,body,label
1,invoices@company.com,Invoice #9672 generated,This email relates to invoices and requires appropriate action.,Invoices
2,invoices@company.com,Invoice #2962 generated,This email relates to invoices and requires appropriate action.,Invoices
3,invoices@company.com,Invoice #6040 generated,This email relates to invoices and requires appropriate action.,Invoices
4,invoices@company.com,Billing invoice #7773,This email relates to invoices and requires appropriate action.,Invoices
5,invoices@company.com,Billing invoice #6216,This email relates to invoices and requires appropriate action.,Invoices
6,invoices@company.com,Invoice #8739 generated,This email relates to invoices and requires appropriate action.,Invoices
7,invoices@company.com,Invoice #8825 due by 2026-03-02,This email relates to invoices and requires appropriate action.,Invoices
8,invoices@company.com,Invoice #8955 generated,This email relates to invoices and requires appropriate action.,Invoices
9,invoices@company.com,Invoice #7610 generated,This email relates to invoices and requires appropriate action.,Invoices
10,invoices@company.com,Invoice #9982 generated,This email relates to invoices and requires appropriate action.,Invoices
11,invoices@company.com,Billing invoice #8970,This email relates to invoices and requires appropriate action.,Invoices
12,invoices@company.com,Billing invoice #3804,This email relates to invoices and requires appropriate action.,Invoices
13,invoices@company.com,Invoice #9214 generated,This email relates to invoices and requires appropriate action.,Invoices
14,invoices@company.com,Invoice #7250 due by 2026-02-12,This email relates to invoices and requires appropriate action.,Invoices
15,invoices@company.com,Billing invoice #6956,This email relates to invoices and requires appropriate action.,Invoices
16,invoices@company.com,Invoice #8224 due by 2026-02-05,This email relates to invoices and requires appropriate action.,Invoices
17,invoices@company.com,Invoice #5724 due by 2026-03-04,This email relates to invoices and requires appropriate action.,Invoices
18,invoices@company.com,Billing invoice #7498,This email relates to invoices and requires appropriate action.,Invoices
19,invoices@company.com,Billing invoice #9346,This email relates to invoices and requires appropriate action.,Invoices
20,invoices@company.com,Billing invoice #1755,This email relates to invoices and requires appropriate action.,Invoices
21,invoices@company.com,Billing invoice #8166,This email relates to invoices and requires appropriate action.,Invoices
22,invoices@company.com,Invoice #6644 due by 2026-02-13,This email relates to invoices and requires appropriate action.,Invoices
23,invoices@company.com,Invoice #1724 due by 2026-02-18,This email relates to invoices and requires appropriate action.,Invoices
24,invoices@company.com,Invoice #9650 generated,This email relates to invoices and requires appropriate action.,Invoices
25,invoices@company.com,Invoice #5149 generated,This email relates to invoices and requires appropriate action.,Invoices
26,invoices@company.com,Billing invoice #5675,This email relates to invoices and requires appropriate action.,Invoices
27,invoices@company.com,Billing invoice #3061,This email relates to invoices and requires appropriate action.,Invoices
28,invoices@company.com,Billing invoice #7505,This email relates to invoices and requires appropriate action.,Invoices
29,invoices@company.com,Billing invoice #1896,This email relates to invoices and requires appropriate action.,Invoices
30,invoices@company.com,Billing invoice #4588,This email relates to invoices and requires appropriate action.,Invoices
31,invoices@company.com,Invoice #5543 generated,This email relates to invoices and requires appropriate action.,Invoices
32,invoices@company.com,Invoice #9080 due by 2026-02-13,This email relates to invoices and requires appropriate action.,Invoices
33,invoices@company.com,Invoice #3746 generated,This email relates to invoices and requires appropriate action.,Invoices
34,invoices@company.com,Invoice #5867 generated,This email relates to invoices and requires appropriate action.,Invoices
35,invoices@company.com,Invoice #3991 generated,This email relates to invoices and requires appropriate action.,Invoices
36,invoices@company.com,Billing invoice #8892,This email relates to invoices and requires appropriate action.,Invoices
37,invoices@company.com,Invoice #4768 due by 2026-02-12,This email relates to invoices and requires appropriate action.,Invoices
38,invoices@company.com,Billing invoice #5117,This email relates to invoices and requires appropriate action.,Invoices
39,invoices@company.com,Billing invoice #4649,This email relates to invoices and requires appropriate action.,Invoices
